"thread_id","cleaned_comment","likes_count","is_reply"
"fb03089fdebbddc700a7c0d23ff32206","walaupun kesan awalnya sombong tapi cara dia analisis masalah bagus banget, pantesan dia pede buat pulihin ekonomi. dia sadar masalah tuh di kebijakan nya, bukan karena faktor luar. mari kita liat, mafia mana yg bakal dia lawan wkwkkw","642","False"
"fb03089fdebbddc700a7c0d23ff32206","semua berpengaruh bro, sangat naif jika hanya menyalahkan satu faktor. di dunia otomotif spek mesin diubah dikit aja yang lain menyesuaikan di dunia medis, satu penyakit saja seluruh organ tubuh menyesuaikan.","11","True"
"fb03089fdebbddc700a7c0d23ff32206","kamu liat video nya sampe habis kan? beliau kan udah bilang ga hanya faktor luar dan dalam negeri doang emng, tapi faktor lain juga","27","True"
"fb03089fdebbddc700a7c0d23ff32206","kalo memang ada faktor luar itu bukti nya vietnam bisa tumbuh 8 persen lo,,,emang kebijakan dalam negeri kita yg ngawur,,,uang sisa apbn bukan di putar malah di pendam di bank sentral.ya jelas kering lah","33","True"
"fb03089fdebbddc700a7c0d23ff32206","wkwkwk langsung mapia aja kak","3","True"
"fb03089fdebbddc700a7c0d23ff32206","takutnya modelan beliau cepat dilengserkan, pasti dilawan habis²an sama mafia.","13","True"
"fb03089fdebbddc700a7c0d23ff32206","backing dia prabowo,rc aja di sikat","0","True"
"fb03089fdebbddc700a7c0d23ff32206","gw liat dia cara dia ngomong dia kayak alm faisal basri padet ga ber tele2","4","True"
"fb03089fdebbddc700a7c0d23ff32206","bener harusnya dibelanjakan, kalo dibelanjakan ekonomi akan muter.","0","True"
"fb03089fdebbddc700a7c0d23ff32206","sebagian ada di de pe er mafianya","2","True"
"fb03089fdebbddc700a7c0d23ff32206","sepemahaman","2","True"
"fb03089fdebbddc700a7c0d23ff32206","coba di kerja sama buk sri muliyani ya! bukan orangnya, tapi mayoritas yang bobrok itu yang salah! mirip koloni semut, ikan! yang bisa disetir!! harusnya mereka bertugas berfikir, bukan koloni yang diarahkan! face red droopy eyes face red droopy eyes face red droopy eyes face red droopy eyes","2","True"
"fb03089fdebbddc700a7c0d23ff32206","jadi kalau kangker, harus semua jadi kangker ya! face red droopy eyes","0","True"
"fb03089fdebbddc700a7c0d23ff32206","mafia judi dan investasi bodong","0","True"
