"thread_id","cleaned_comment","likes_count","is_reply"
"cb6a052554dae9a689b55d1d054382c6","tetangga gw maen beginian ni om ben orang telkom, maen solar untuk konsumsi pabrik, dengan return 10 per bulan klo kita mau ikut. bisnis haram ya hasilnya haramlah pastinya ngewriii pkknya.","1000","False"
"cb6a052554dae9a689b55d1d054382c6","ya, itulah contoh pengkhianat bangsa kita","306","True"
"cb6a052554dae9a689b55d1d054382c6","pantesan solar di kalimantan ngantri terus begitu toh","111","True"
"cb6a052554dae9a689b55d1d054382c6","benar bang pasti isinya orng pemerintahan yg punya usaha bumn,eksportir kapal,mobil siluman dll pembekapnya mengawal agar aman","62","True"
"cb6a052554dae9a689b55d1d054382c6","klo di kalimantan agak sulit kayak begini karena dijatah per mobil sama spbu nya klo di tanah jawa yg gw liat masih loss aja penjualan solarnya.","25","True"
"cb6a052554dae9a689b55d1d054382c6","paling benar emang cabut bbm subsidi face blue smiling face blue smiling face blue smiling , tar ada demo atas nama 'rakyat' taunya bayaran. 150km selatan jakarta ga ada itu bbm subsidi, silahkan cek sukanagara, tanggeung cianjur, kalau ada itu hoki2an.","35","True"
"cb6a052554dae9a689b55d1d054382c6","iyaa anjir banyak yg model beginian","12","True"
"cb6a052554dae9a689b55d1d054382c6","pln asuuu....petamina asuuu....asuuuudahlah asuuuu","54","True"
"cb6a052554dae9a689b55d1d054382c6","klw telkomsel pulza gw aja diembat..belum ke atasnya itu tambah banyak lagi maliing ny","19","True"
"cb6a052554dae9a689b55d1d054382c6","bisnisnya sahroni jg gini,bahkan pernah terang2an di wawancarai di tv,tp ya inilah indonesia,penegak hukum nya gk ada yg berani bertindak","42","True"
"cb6a052554dae9a689b55d1d054382c6","banyak pak ben, di sekitar jogja solo banyak mafia solar macam itu. udah bukan rahasia umum sampai tukang tukang bangunan pada tau. dan ga ada yang berani laporin karena baking nya anggota polisi sendiri. laporin ditangkap.","28","True"
"cb6a052554dae9a689b55d1d054382c6","klw penegak hukumnya dapat bagian gimana? yg sering terjadi mrk saling melayani","11","True"
"cb6a052554dae9a689b55d1d054382c6","setuju om ben, pertamina diawasi menkeu","16","True"
"cb6a052554dae9a689b55d1d054382c6","ga tau ya di kalimantan antri mobil bodong tangki solatnya sudah modif an","3","True"
"cb6a052554dae9a689b55d1d054382c6","kabarnya syahrony kaya raya dari beginian.. bermain solar","17","True"
"cb6a052554dae9a689b55d1d054382c6","iya betul jd dr pejabat sampe ke karywan semua bljar main uang haram wajar negara kita hancur miskin","14","True"
"cb6a052554dae9a689b55d1d054382c6","bang mau tanya kenapa harga minyak di negri iran murah","8","True"
"cb6a052554dae9a689b55d1d054382c6","sumsel juga sm bang,solar langka bgt","5","True"
