"thread_id","cleaned_comment","likes_count","is_reply"
"7a6b954359e5e73ff74d51b1dc84b4e1","bapak menkeu yang baru, tolong jangan sombong2 dulu. buktikan kemampuan prioritas utama.","2200","False"
"7a6b954359e5e73ff74d51b1dc84b4e1","pesimis salah..optimis salah","122","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","serba salah hidup di konoha bro","72","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","soalnya ini di indonesia,kemungkinan terbaiknya sulit,klo kemungkinan terburuknya udah jelas","68","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","ilmunya saja ga nyambung dengan bidangnya.","49","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","kok sprt besar suara dulu,jangan"" nanti...?????","48","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","mantab...mentri baru sudah tau cara memperbaiki ekonomi indonesia..","28","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","bapak senang. aman pokoknya.","6","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","ky noel","6","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","buktikan korupsi nya aja.. coba di lihat permainannya naikan pajak besar2an.. hahahaha","8","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","takut kalo sombong hasilnya nol dah,mending kerja dulu baru diapresiasi rakyat","62","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","men song songong amat smoga lebih baik","6","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","bagus ini bro optimis bisa","11","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","energi optimis itu. masa gitu aja dianggap salah?pesimis salah,optimis salah. lama lama lu kaligata,diare nyalahin ke pemerintah","14","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","biasa masih baru menjabat semangat 45.","6","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","s7 sekali..udh smbg dlu sblm bs terbukti..tp ternyata dia adlh prnh menjabat di rezim jkwi ktnya","6","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","song kotong nyaring bunyinya","8","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","aku gak yakin dengan bapak ini.sepertinya awal kehancuran","17","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","di ganti salah nggak d ganti salah","7","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","orang baru dan semangat baru....minimal masih ada secercah harapan. semoga sukses dan dimudahkan segala urusan pa yudhi","15","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","dari dulu ngomong itu gampang yah ..... kita tunggu tanggal mainnya aja deh...","7","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","benar juga, saya kaget juga untuk orang yang baru dilantik semoga tidak omon omon","9","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","berbaik sangka dulu lah","10","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","bukan sombong tapi optimis. kayaknya cukup pengalamannya. kita apresiasi aja bung.","18","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","liat aja nnti setahun lgi dia ditangkap kpk","7","True"
"7a6b954359e5e73ff74d51b1dc84b4e1","tak semudah kata kata broo jangan asal ngomong,","11","True"
