comment,likes_count,is_reply
"dibalik gaya bicaranya yg koboy, pak purbaya ini punya jiwa negarawan yang hebat yah",613,False
"Kita Doakan saja, semoga beliau dapat mengemban tugasnya dengan baik.",28,True
Tegas jg nih orang betul,12,True
Smg Indonesia makin makmur bersih dari korupsi 🤲🏻 mantap pk purbaya 🎉 ❤,11,True
Semoga,5,True
Tunggu dulu hasilnya. Ini baru di mulai. Jgn sampai nurunin cukai rokok ada udang dibalik bakwan.alias dapat free dari pengusaha rokok,2,True
"Hmm, jgn terlalu cepat menilai seseorang. Tunggu beberapa bulan/ baru kasi penilaian. Politicians are good actors",3,True
"Intinya tetap kawal politik kita, karna politik kita banyak udang di balik apalah, rakyat lengah dikit langsung ada yg main-main bahkan org yg kita percaya sekalipun juga bisa bermain-main, jgn sampe org yg kita percaya justru malah jadi maling negara 🙏 tetap kawal sampe ekonomi benar-benar stabil",3,True
Semoga menteri lainnya juga diisi SDM pendidikan tinggi seperti Bu Sri dan Pak Purbaya kita perlu meniru para tokoh pendiri negara yang merupakan SDM terbaik di zamannya,0,True
"Sri Mulyani : penjelasan dg bahasa eksklusif, data2 statistik, teoritis, detail & solusi rumit. Purbaya : penjelasan bahasa sederhana blak2an, tanpa perlu data tp menjabarkan fakta, kondisi nyata dilapangan, solusi dg gamblang mudah dipahami masyarakat sipil biasa.",323,False
Correctif: Pak Purbaya juga perlu data. membaca data sama pentingnya untuk memperkuat policy. ( data dan statistik sama pentingnya u/ pencapaian target / gol) ❤,19,True
Untuk mengelabuai masyarakat awam dengan bahasa² yg sulit di pahami 😅,8,True
Bedanya gaya pemimpin orang teknik dgn orang sosial.. orang teknik berfikir taktis utk menyelesaikan solusi.. gaya Habibie kan gitu juga taktis dan cepat,6,True
"Sabar.. Hasil kerja itu goal, sedangkan instrument butuh proses.",0,True
"Beliau juga pake data lohh dari kemarin Tapi benar2 beliau ini berjiwa Guru yang baik, diarahkan dgn gaya bahasa yang mudah dipahami",6,True
"Klo kta iklan ketombe,, ah teori",0,True
"ya 11-12 lah, beda istilah aja. cek setahun nanti",1,True
"sekarang di puja2 liat nanti 3 bulan kedepan, cari simpatik mh gampang yg sulit itu hasil nya. udah banyak yg omon2 doank..",3,True
Betul sekali. Sri mulyani bahasanya bersayap tipikal politisi,1,True
Lebih tepatnya bahasa manusia lah yaaa hahahaha,2,True
"tul, 💯",0,True
kayaknya bu sri jarang ngejelasin masalah dan solusi yang baik selain naikin pajak mulu 😂,1,True
