comment,likes_count,is_reply
"Tetangga gw maen beginian ni om ben orang TELKOM, maen solar untuk konsumsi pabrik, dengan return 10% per bulan klo kita mau ikut. bisnis haram ya hasilnya haramlah pastinya ngewriii pkknya.",1000,False
"Ya, itulah contoh PENGKHIANAT bangsa kita",286,True
Pantesan solar di Kalimantan ngantri terus begitu toh,108,True
"@Bennix benar bang pasti isinya orng pemerintahan yg punya usaha bumn,eksportir kapal,mobil siluman dll & pembekapnya mengawal agar aman",59,True
Klo di kalimantan agak sulit kayak begini karena dijatah per mobil sama spbu nya klo di tanah jawa yg gw liat masih loss aja penjualan solarnya.,23,True
"Paling benar emang cabut bbm subsidi , tar ada demo atas nama 'rakyat' taunya bayaran. 150km selatan jakarta ga ada itu bbm subsidi, silahkan cek sukanagara, tanggeung cianjur, kalau ada itu hoki2an.",34,True
Iyaa anjir banyak yg model beginian,12,True
PLN ASUUU....PETAMINA ASUUU....ASUUUUDAHLAH ASUUUU,52,True
Klw Telkomsel Pulza gw aja diembat..belum ke atasnya itu tambah banyak lagi Maliing ny,19,True
"Bisnisnya Sahroni jg gini,bahkan pernah terang2an di wawancarai di tv,tp ya inilah Indonesia,penegak hukum nya GK ada yg berani bertindak",41,True
"@Bennix banyak pak Ben, di sekitar Jogja-Solo banyak mafia solar macam itu. Udah bukan rahasia umum sampai tukang tukang bangunan pada tau. Dan ga ada yang berani laporin karena baking nya anggota polisi sendiri. Laporin=ditangkap.",24,True
@KitaPunyaCerita99 klw penegak hukumnya dapat bagian gimana? yg sering terjadi mrk saling melayani,11,True
"setuju Om Ben, pertamina diawasi menkeu",16,True
@H2O5519lha ga tau ya di Kalimantan antri mobil bodong tangki solatnya sudah modif an,3,True
Kabarnya syahrony kaya raya dari beginian.. Bermain solar,17,True
Iya betul jd dr pejabat sampe ke karywan semua bljar main uang haram wajar negara kita hancur miskin,14,True
Bang mau tanya kenapa harga minyak di negri iran murah,8,True
"@JehtBenben Sumsel juga sm bang,solar langka bgt",5,True
@boysandianakjalanan8098 Sebenernya Balikpapan itu klw bikin negara sendiri udah kayak Brunei,10,True
Wah mirip kyk bisnisnya sahron* donk,5,True
"Pertamina safety nya hanya untuk vendor, Pertamina safety nya sangat bobrok",5,True
"Sama kek pupuk subsidi, dan di belakang itu bertebar bintang-bintang YTTA.",5,True
Perusahaan saya beli solar dari refenery harga nya Rp 13500 ful dokumen . Saya lihat di online harga nya 10.000 . Saya heran ini solar industri atau oplosan .,6,True
