cleaned_comment,likes_count,sentiment_score
"tetangga gw maen beginian ni om ben orang telkom, maen solar untuk konsumsi pabrik, dengan return 10 per bulan klo kita mau ikut. bisnis haram ya hasilnya haramlah pastinya ngewriii pkknya.",1000,-0.995292873121798
"ya, itulah contoh pengkhianat bangsa kita",286,-0.9970085341483355
pantesan solar di kalimantan ngantri terus begitu toh,109,-0.7130651548504829
"benar bang pasti isinya orng pemerintahan yg punya usaha bumn,eksportir kapal,mobil siluman dll pembekapnya mengawal agar aman",60,-0.8031349331140518
klo di kalimantan agak sulit kayak begini karena dijatah per mobil sama spbu nya klo di tanah jawa yg gw liat masih loss aja penjualan solarnya.,23,-0.9910596201661974
"paling benar emang cabut bbm subsidi face blue smiling face blue smiling face blue smiling , tar ada demo atas nama 'rakyat' taunya bayaran. 150km selatan jakarta ga ada itu bbm subsidi, silahkan cek sukanagara, tanggeung cianjur, kalau ada itu hoki2an.",35,-0.7223191112279892
iyaa anjir banyak yg model beginian,12,-0.9138556644320488
pln asuuu....petamina asuuu....asuuuudahlah asuuuu,52,-0.6702774614095688
klw telkomsel pulza gw aja diembat..belum ke atasnya itu tambah banyak lagi maliing ny,19,-0.4958652853965759
"bisnisnya sahroni jg gini,bahkan pernah terang2an di wawancarai di tv,tp ya inilah indonesia,penegak hukum nya gk ada yg berani bertindak",41,-0.9942972310818732
"banyak pak ben, di sekitar jogja solo banyak mafia solar macam itu. udah bukan rahasia umum sampai tukang tukang bangunan pada tau. dan ga ada yang berani laporin karena baking nya anggota polisi sendiri. laporin ditangkap.",24,-0.995242010219954
klw penegak hukumnya dapat bagian gimana? yg sering terjadi mrk saling melayani,11,-0.6023556292057037
"setuju om ben, pertamina diawasi menkeu",16,0.015901223523542285
ga tau ya di kalimantan antri mobil bodong tangki solatnya sudah modif an,3,-0.9937290986999869
kabarnya syahrony kaya raya dari beginian.. bermain solar,17,-0.9032700452953577
iya betul jd dr pejabat sampe ke karywan semua bljar main uang haram wajar negara kita hancur miskin,14,-0.9971594113740139
bang mau tanya kenapa harga minyak di negri iran murah,8,-0.023200667463243008
"sumsel juga sm bang,solar langka bgt",5,-0.4329766482114792
sebenernya balikpapan itu klw bikin negara sendiri udah kayak brunei,10,-0.40964991226792336
wah mirip kyk bisnisnya sahron donk,5,0.9344064295291901
"pertamina safety nya hanya untuk vendor, pertamina safety nya sangat bobrok",5,-0.9876199248246849
"sama kek pupuk subsidi, dan di belakang itu bertebar bintang bintang ytta.",5,0.030895449221134186
perusahaan saya beli solar dari refenery harga nya rp 13500 ful dokumen . saya lihat di online harga nya 10.000 . saya heran ini solar industri atau oplosan .,6,-0.9928512669866905
pln sekarng tarifnya naik yg aku rsakan makin hari makin cepat habisnya gk sampe 1 minggu mlahan 5 hr habis 50rb.. sblumnya 1 mingguan baru ngisi,3,-0.08784651756286621
coba diusulkan utk sebar detail orang2nya,2,-0.001791852293536067
"ikut nimbrung yak, iran punya cadangqn minyak terbesar ke 3 ato 4 di dunia venezuela, arab saudi, iran . punya kilang minyak berkelas. wlpun kena embargo un, iran bs ekspor ke china n bbrp negara lain under un supervised dlm jumlah besar n tentunya mencukupi konsumsi dlm negri nya dgn hrg jual murce. wallahu a'lam",4,0.8643759451806545
laporin aja jelas jelas itu merugikan..dan pabriknya jg sekalian.,0,-0.995703952095937
laporin kpk bang,0,-0.9777032369747758
"tetangga gw main avtur pesawat brooo...pangkat au msh rendah..tp rmh elit dimana2, uang cashnya jelas banyaknya krn hampir beli apapun pake cash meski itu jutaan..takut kpk kali ya",6,-0.9910004483535886
"kebelet hedon demi kemewahan duniawi, rela mengorbankan kepentingan publik seandainya semua sejahtera apakah mau orang yang sejahtera bekerja kasar jadi kuli yang bangun istana raja jadi tukang las di pertambangan minyak di laut itu semua mereka lakukan karena mereka miskin terpaksa mengorbankan jiwa raga mungkin ini alasan mengapa kemiskinan diciptakan, mata uang tercipta dan terbentuk simbol piramid walaupun di dunia selalu di tindas namun memang ini ujian tersulit manusia menjadi baik di kotornya dunia , semoga kita semua dapat surganya allah",1,-0.4936414510011673
perang lawan mafia,0,-0.9917425187304616
"ndak di spbu dong.. lgsg di pangkalannya, berapa banyak perusahaan harusnya pakai bbm industri malah pakai subsidi..",1,-0.8680879975436255
katanya arab juga pernah mau bangun kilang minyak di indonesia tapi dibikin kabur .....,2,-0.9895181782194413
