cleaned_comment,likes_count,sentiment_score
"dibalik gaya bicaranya yg koboy, pak purbaya ini punya jiwa negarawan yang hebat yah",613,0.9929299384821206
"kita doakan saja, semoga beliau dapat mengemban tugasnya dengan baik.",28,0.8798224329948425
tegas jg nih orang betul,12,-0.0011841952800750732
smg indonesia makin makmur bersih dari korupsi mantap pk purbaya,11,0.9860831492114812
semoga,5,0.8759012850932777
tunggu dulu hasilnya. ini baru di mulai. jgn sampai nurunin cukai rokok ada udang dibalik bakwan.alias dapat free dari pengusaha rokok,2,-0.9759971937164664
"hmm, jgn terlalu cepat menilai seseorang. tunggu beberapa bulan baru kasi penilaian. politicians are good actors",3,-0.9473367212340236
"intinya tetap kawal politik kita, karna politik kita banyak udang di balik apalah, rakyat lengah dikit langsung ada yg main main bahkan org yg kita percaya sekalipun juga bisa bermain main, jgn sampe org yg kita percaya justru malah jadi maling negara tetap kawal sampe ekonomi benar benar stabil",3,-0.7855213433504105
semoga menteri lainnya juga diisi sdm pendidikan tinggi seperti bu sri dan pak purbaya kita perlu meniru para tokoh pendiri negara yang merupakan sdm terbaik di zamannya,0,0.7828961685299873
"sri mulyani penjelasan dg bahasa eksklusif, data2 statistik, teoritis, detail solusi rumit. purbaya penjelasan bahasa sederhana blak2an, tanpa perlu data tp menjabarkan fakta, kondisi nyata dilapangan, solusi dg gamblang mudah dipahami masyarakat sipil biasa.",323,-0.31060096621513367
correctif pak purbaya juga perlu data. membaca data sama pentingnya untuk memperkuat policy. data dan statistik sama pentingnya u pencapaian target gol,19,0.6312253214418888
untuk mengelabuai masyarakat awam dengan bahasa² yg sulit di pahami,8,-0.9375077146105468
bedanya gaya pemimpin orang teknik dgn orang sosial.. orang teknik berfikir taktis utk menyelesaikan solusi.. gaya habibie kan gitu juga taktis dan cepat,6,0.20035934448242188
"sabar.. hasil kerja itu goal, sedangkan instrument butuh proses.",0,0.4124293215572834
"beliau juga pake data lohh dari kemarin tapi benar2 beliau ini berjiwa guru yang baik, diarahkan dgn gaya bahasa yang mudah dipahami",6,0.9879762013442814
"klo kta iklan ketombe,, ah teori",0,-0.9816162877250463
"ya 11 12 lah, beda istilah aja. cek setahun nanti",1,-0.6900921673513949
"sekarang di puja2 liat nanti 3 bulan kedepan, cari simpatik mh gampang yg sulit itu hasil nya. udah banyak yg omon2 doank..",3,-0.9904880996327847
betul sekali. sri mulyani bahasanya bersayap tipikal politisi,1,-0.9566167034208775
lebih tepatnya bahasa manusia lah yaaa hahahaha,2,-0.9525531735271215
"tul,",0,0.93114373087883
kayaknya bu sri jarang ngejelasin masalah dan solusi yang baik selain naikin pajak mulu,1,-0.9605465596541762
secara teori beliau ini sllu memikirkan kepentingan dan kelayakan ekonomi masyrakat kecil sbgai wujud kebijakan yg bertangggung jawab sbgai bgian lembaga pemerintahan..semoga beliau kuat menghadapi tekanan demi tekanan dari berbgai mafia perdagangan dan bisnis yg sngat mnjamur dan hny memikirkan perut mereka sendri..meski harus mengorbankan kelayakan perekonomian masyarakat kecil..ayo pak..istiqomah dlm kebijakan2 yg mengutamakan kepentingan tenaga buruh masyarakat kecil dan pengusaha2 lokal..jika prinsip mengsmbil kebijakan ini berhasil di tetapkan..kehiduoan ekonomi masyatakat kecil insha allah akan terus membaik..dan pelan2 akan merubah paradigma masyarakat kecil pribumi terhadap pengusaha2 dari kalangan konglomerat wni keturunan..hal ini akan mmbntu terciptanya kerukunan hidup..kerukunan sosial di nkri..rakyat mu ga butuh jadi orang kaya semua..mereka cm butuh keadilan dan kejujuran dari setiap lembaga penerintahan dlm mengambil setiap kebijakan,1,0.7615036144852638
"deskripsi anda sangat cocok untuk dijadikan prompt gemini, dinamis, elegan dan nampak profesional",0,0.9901031986810267
seperti biasanya disini orang baik tak selalu diterima baik kan. mudah2an menku ini konsisten dan dilindungi,340,0.7675002068281174
aamiin yra,7,0.925696408143267
betul biasa orang baik berusaha disingkirkan...dan kita harus mengawal biar menku diberi kekuatan,3,-0.903972689062357
"amin saya ikut senang,",1,0.9867872482864186
selama niatnya baik dukung,0,0.8851069584488869
